stationID,locationID,railroadSectionID,railwayLineName,operationCompany,stationName,longitude,latitude
eb03_10043,cv_stn10043,eb02_21473,仙台空港線,仙台空港鉄道,杜せきのした,38.16537,140.895955
eb03_10044,cv_stn10044,eb02_16653,仙台空港線,仙台空港鉄道,名取,38.1731,140.88275
eb03_10045,cv_stn10045,eb02_21480,国際文化公園都市モノレール線（彩都線）,大阪高速鉄道,彩都西,34.85507,135.522865
eb03_10046,cv_stn10046,eb02_21482,国際文化公園都市モノレール線（彩都線）,大阪高速鉄道,豊川,34.83464,135.52671
eb03_10047,cv_stn10047,eb02_21504,8号線（今里筋線）,大阪市,新森古市,34.715255,135.558255
eb03_10048,cv_stn10048,eb02_21502,8号線（今里筋線）,大阪市,今里,34.670295,135.543075
eb03_10049,cv_stn10049,eb02_21485,8号線（今里筋線）,大阪市,井高野,34.76012,135.54726
eb03_10050,cv_stn10050,eb02_21487,8号線（今里筋線）,大阪市,瑞光四丁目,34.752115,135.544515
eb03_10051,cv_stn10051,eb02_21489,8号線（今里筋線）,大阪市,だいどう豊里,34.74399333,135.5444733
eb03_10052,cv_stn10052,eb02_21491,8号線（今里筋線）,大阪市,太子橋今市,34.7314,135.55616
eb03_10053,cv_stn10053,eb02_21493,8号線（今里筋線）,大阪市,清水,34.722155,135.56081
eb03_10054,cv_stn10054,eb02_21494,8号線（今里筋線）,大阪市,関目成育,34.713025,135.54644
eb03_10055,cv_stn10055,eb02_21496,8号線（今里筋線）,大阪市,蒲生四丁目,34.70106,135.546295
eb03_10056,cv_stn10056,eb02_21498,8号線（今里筋線）,大阪市,鴫野,34.69301,135.54615
eb03_10057,cv_stn10057,eb02_21500,8号線（今里筋線）,大阪市,緑橋,34.6815,135.544635
eb03_10058,cv_stn10058,eb02_21521,中之島線,京阪電気鉄道,なにわ橋,34.692285,135.50799
eb03_10059,cv_stn10059,eb02_21517,中之島線,京阪電気鉄道,渡辺橋,34.694045,135.495905
eb03_10060,cv_stn10060,eb02_21519,中之島線,京阪電気鉄道,大江橋,34.69436,135.50097
eb03_10061,cv_stn10061,eb02_21515,中之島線,京阪電気鉄道,中之島,34.691695,135.487895
eb03_10062,cv_stn10062,eb02_21522,阪神なんば線,阪神電気鉄道,ドーム前,34.67044333,135.47867
eb03_10063,cv_stn10063,eb02_21524,阪神なんば線,阪神電気鉄道,九条,34.67350667,135.4743967
eb03_10064,cv_stn10064,eb02_21656,阪神なんば線,阪神電気鉄道,西九条,34.682055,135.46607
eb03_10065,cv_stn10065,eb02_21527,阪神なんば線,阪神電気鉄道,桜川,34.66841,135.4865025
